epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4616,1.51095,3.90483,1.36623,0.01082,0.65941,0.01876,0.01081,1.11027,3.87485,1.17488,8e-05,8e-05,8e-05
2,14.926,1.36864,2.92641,1.23113,0.82741,0.81644,0.90279,0.60095,1.08828,3.50587,1.0128,0.000179644,0.000179644,0.000179644
3,20.1564,1.15816,0.81042,1.10658,0.91085,0.97822,0.98239,0.64661,1.10544,1.83414,1.04408,0.000278891,0.000278891,0.000278891
4,25.3493,1.15289,0.6795,1.08068,0.90944,0.93465,0.92098,0.59558,1.11658,3.37391,1.10675,0.000377743,0.000377743,0.000377743
5,30.32,1.07918,0.65537,1.06236,0.8627,0.96436,0.96469,0.6253,1.16151,2.09145,1.21508,0.000476198,0.000476198,0.000476198
6,35.4545,1.10996,0.6333,1.0744,0.96429,0.80198,0.94201,0.57778,1.19985,2.86216,1.2434,0.000574258,0.000574258,0.000574258
7,40.5644,1.1253,0.62604,1.08386,0.71084,0.58416,0.52773,0.29364,1.54639,4.31373,1.73584,0.000671922,0.000671922,0.000671922
8,45.6296,1.13182,0.65389,1.08766,0.11386,0.26139,0.09021,0.02676,2.84531,10.0207,4.35841,0.000769189,0.000769189,0.000769189
9,50.716,1.10196,0.61614,1.08639,0.01485,0.26139,0.00795,0.00182,3.76664,40.8001,6.54906,0.000866061,0.000866061,0.000866061
10,55.868,1.16936,0.63749,1.10812,0.01284,0.31881,0.00899,0.00224,3.34771,inf,7.75734,0.000962536,0.000962536,0.000962536
11,60.9166,1.14354,0.64167,1.09789,0.00158,0.17822,0.00098,0.00026,nan,nan,nan,0.00105862,0.00105862,0.00105862
12,66.1956,1.12715,0.62193,1.08016,0.00026,0.04356,0.00014,3e-05,nan,nan,nan,0.0011543,0.0011543,0.0011543
13,71.539,1.16102,0.64597,1.10785,0.00331,0.02772,0.00059,0.0001,5.56072,inf,73.6621,0.00124959,0.00124959,0.00124959
14,76.936,1.1109,0.6168,1.08731,0.19672,0.28515,0.15222,0.0634,2.56837,11.3026,4.10788,0.00134448,0.00134448,0.00134448
15,82.4567,1.16653,0.65174,1.13866,0.01086,0.07525,0.0021,0.0003,5.20903,inf,101.244,0.00143897,0.00143897,0.00143897
16,87.8347,1.19472,0.63959,1.12907,0.00146,0.12673,0.00082,0.00017,nan,nan,nan,0.00153307,0.00153307,0.00153307
17,92.6354,1.2195,0.65369,1.13948,0.0153,0.08119,0.00804,0.00182,nan,nan,nan,0.00162678,0.00162678,0.00162678
18,98.227,1.16934,0.63982,1.10576,0.00057,0.10099,0.00032,6e-05,5.12764,inf,134.767,0.00172009,0.00172009,0.00172009
19,103.771,1.13933,0.64089,1.10458,0.00291,0.18614,0.00149,0.00034,nan,nan,nan,0.001813,0.001813,0.001813
20,109.118,1.17729,0.64408,1.13631,0.0003,0.0297,0.00015,4e-05,nan,nan,nan,0.00190551,0.00190551,0.00190551
21,114.156,1.16595,0.64402,1.10586,0.02159,0.07723,0.00955,0.00168,nan,nan,nan,0.0019208,0.0019208,0.0019208
22,118.94,1.16764,0.65559,1.10566,0.02159,0.07723,0.00955,0.00168,nan,nan,nan,0.00191684,0.00191684,0.00191684
23,124.533,1.14816,0.63819,1.08915,0.00432,0.07723,0.0024,0.00051,nan,nan,nan,0.00191288,0.00191288,0.00191288
