epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0962,1.6007,4.02992,1.4421,0.01197,0.54459,0.01423,0.00892,1.37235,3.95821,1.37295,7.145e-05,7.145e-05,7.145e-05
2,20.6158,1.52752,3.00269,1.3261,0.56692,0.538,0.52721,0.30473,1.28325,6.8305,1.30942,0.000156879,0.000156879,0.000156879
3,27.9297,1.27935,1.23401,1.20187,0.71523,0.75122,0.79799,0.46605,1.30114,2.27867,1.38349,0.000241968,0.000241968,0.000241968
4,35.0437,1.26237,0.94574,1.21334,0.30679,0.59922,0.38941,0.19851,1.6304,5.81029,1.64521,0.000326718,0.000326718,0.000326718
5,42.2016,1.18927,0.83724,1.17769,0.80313,0.67769,0.81857,0.5032,1.32491,1.54141,1.45634,0.000411128,0.000411128,0.000411128
6,49.3738,1.2224,0.74702,1.21137,0.00176,0.12674,0.00098,0.00028,4.58169,inf,61.1879,0.000495199,0.000495199,0.000495199
7,56.604,1.23754,0.77881,1.23129,4e-05,0.00081,1e-05,0,nan,nan,nan,0.00057893,0.00057893,0.00057893
8,63.4655,1.19577,0.7194,1.20513,0.35289,0.14499,0.12122,0.06545,nan,nan,nan,0.000662321,0.000662321,0.000662321
9,70.7752,1.22214,0.73888,1.24137,0.12656,0.28017,0.067,0.0363,2.09603,5.60055,2.228,0.000745373,0.000745373,0.000745373
10,78.1271,1.20715,0.80981,1.19209,0.14536,0.30977,0.07814,0.04352,1.81409,23.6342,2.51888,0.000828086,0.000828086,0.000828086
11,85.4774,1.17215,0.74426,1.17312,0.179,0.40298,0.0859,0.04125,nan,nan,nan,0.000910459,0.000910459,0.000910459
12,93.1504,1.25326,0.75812,1.23548,0.20785,0.42692,0.14605,0.06677,2.07811,inf,4.23893,0.000992492,0.000992492,0.000992492
13,100.459,1.2208,0.76379,1.20828,0.26219,0.12968,0.10924,0.04369,nan,nan,nan,0.00107419,0.00107419,0.00107419
14,108.016,1.25469,0.79208,1.24263,0.06713,0.02102,0.00638,0.00351,nan,nan,nan,0.00115554,0.00115554,0.00115554
15,115.736,1.22254,0.7854,1.22971,0.51804,0.24769,0.21854,0.10116,nan,nan,nan,0.00123656,0.00123656,0.00123656
16,123.451,1.27783,0.79557,1.25931,0.00081,0.24581,0.00066,0.00017,nan,nan,nan,0.00131723,0.00131723,0.00131723
17,130.172,1.27165,0.7716,1.22175,0.00081,0.24581,0.00066,0.00017,nan,nan,nan,0.00138373,0.00138373,0.00138373
18,138.297,1.30916,0.76579,1.24796,0.01256,0.17675,0.00447,0.00159,nan,nan,nan,0.0013809,0.0013809,0.0013809
19,146.393,1.27971,0.76434,1.2703,0.01632,0.01253,0.00383,0.00103,nan,nan,nan,0.00137807,0.00137807,0.00137807
20,154.565,1.21965,0.79144,1.21404,0.26782,0.25526,0.16997,0.09619,nan,nan,nan,0.00137524,0.00137524,0.00137524
21,162.83,1.2035,0.73796,1.22277,0.65415,0.48607,0.49696,0.28699,1.6738,3.59175,2.11043,0.00137241,0.00137241,0.00137241
22,171.103,1.27408,0.77477,1.26137,0.70084,0.57186,0.61424,0.34211,1.57371,3.57468,1.87072,0.00136958,0.00136958,0.00136958
23,179.467,1.20783,0.75182,1.20469,0.64523,0.83147,0.76571,0.42938,1.47663,4.05493,1.83215,0.00136675,0.00136675,0.00136675
24,187.665,1.19794,0.68929,1.20666,0.00175,0.01237,0.00091,0.00015,4.18523,6.44645,5.17334,0.00136392,0.00136392,0.00136392
25,196.387,1.20259,0.69713,1.21737,0.67913,0.5018,0.58954,0.33893,1.6398,1.55383,1.93467,0.00136109,0.00136109,0.00136109
26,205.364,1.18266,0.6892,1.19203,0.75663,0.80965,0.88964,0.56146,1.24426,2.5273,1.56914,0.00135826,0.00135826,0.00135826
27,213.886,1.19966,0.68662,1.2062,0.51014,0.56473,0.49973,0.32683,1.26919,7.74718,1.71968,0.00135544,0.00135544,0.00135544
28,222.137,1.14235,0.65315,1.18095,0.39078,0.47727,0.42742,0.28366,1.28247,5.18788,1.64848,0.00135261,0.00135261,0.00135261
29,230.501,1.12119,0.64516,1.1772,0.71549,0.71397,0.68982,0.43425,1.27587,3.15215,1.51557,0.00134978,0.00134978,0.00134978
30,238.845,1.14462,0.65546,1.17722,0.70828,0.64996,0.68378,0.43482,1.2742,2.96607,1.45731,0.00134695,0.00134695,0.00134695
31,247.204,1.16443,0.65224,1.17853,0.73389,0.7838,0.85089,0.54535,1.20316,2.55426,1.46802,0.00134412,0.00134412,0.00134412
32,255.47,1.17409,0.65553,1.18598,0.86146,0.86517,0.91524,0.59355,1.19352,1.36959,1.35511,0.00134129,0.00134129,0.00134129
33,264.174,1.14888,0.64078,1.17974,0.86449,0.81079,0.88311,0.56982,1.23742,1.48432,1.37739,0.00133846,0.00133846,0.00133846
34,272.447,1.13075,0.61466,1.153,0.87487,0.82093,0.88801,0.60439,1.13246,1.16959,1.31916,0.00133563,0.00133563,0.00133563
35,281.062,1.11558,0.60413,1.15824,0.78326,0.657,0.73359,0.46161,1.39656,1.70176,1.51757,0.0013328,0.0013328,0.0013328
36,289.452,1.10925,0.60044,1.16592,0.78073,0.80124,0.87139,0.56217,1.24778,1.70983,1.39602,0.00132997,0.00132997,0.00132997
37,297.901,1.13816,0.62555,1.17592,0.74629,0.83599,0.88915,0.5814,1.21509,1.62133,1.37152,0.00132714,0.00132714,0.00132714
38,306.249,1.08245,0.60676,1.18417,0.79368,0.92397,0.94726,0.63583,1.09029,1.31527,1.25187,0.00132431,0.00132431,0.00132431
39,314.917,1.08615,0.59105,1.14726,0.89331,0.91962,0.949,0.62327,1.10735,1.66698,1.27774,0.00132148,0.00132148,0.00132148
40,323.292,1.09223,0.60788,1.13617,0.85447,0.78374,0.87284,0.58407,1.09644,1.40525,1.24045,0.00131865,0.00131865,0.00131865
41,331.647,1.07192,0.6075,1.13492,0.87177,0.84209,0.92279,0.63768,1.09176,0.87547,1.22535,0.00131582,0.00131582,0.00131582
42,340.153,1.08977,0.58917,1.16506,0.71989,0.76699,0.82598,0.53232,1.14763,1.38627,1.30576,0.00131299,0.00131299,0.00131299
43,348.476,1.10368,0.62286,1.17261,0.81527,0.78983,0.86976,0.56635,1.15467,1.12956,1.31188,0.00131016,0.00131016,0.00131016
44,356.983,1.12035,0.61516,1.17561,0.87684,0.82761,0.9036,0.62224,1.12515,0.79869,1.25255,0.00130733,0.00130733,0.00130733
45,365.439,1.07928,0.60258,1.14778,0.84158,0.85489,0.88535,0.60004,1.1001,1.03099,1.20732,0.00130451,0.00130451,0.00130451
46,373.879,1.0756,0.5745,1.13524,0.92934,0.91806,0.96481,0.65628,1.18503,0.70589,1.26123,0.00130168,0.00130168,0.00130168
47,382.62,1.04623,0.55424,1.12676,0.82316,0.87518,0.92596,0.61583,1.12324,0.99347,1.22537,0.00129885,0.00129885,0.00129885
48,391.221,1.03649,0.55285,1.13151,0.87648,0.92187,0.94405,0.67089,1.02296,0.85064,1.16098,0.00129602,0.00129602,0.00129602
49,400.105,1.06306,0.56458,1.1423,0.93534,0.91292,0.96472,0.67464,1.1,0.75876,1.2101,0.00129319,0.00129319,0.00129319
50,408.77,1.06737,0.57223,1.13426,0.90856,0.91619,0.96298,0.68771,1.03079,0.83084,1.17671,0.00129036,0.00129036,0.00129036
51,417.619,1.02988,0.53851,1.11807,0.90624,0.89553,0.94061,0.68843,0.97365,0.71432,1.18385,0.00128753,0.00128753,0.00128753
52,426.233,1.0496,0.53921,1.1326,0.95808,0.9713,0.98288,0.73347,0.94502,0.51887,1.12646,0.0012847,0.0012847,0.0012847
53,434.98,1.00044,0.5343,1.12303,0.92234,0.90539,0.95482,0.71034,0.9569,0.65574,1.12995,0.00128187,0.00128187,0.00128187
54,443.446,0.9937,0.50867,1.11942,0.90995,0.88585,0.94866,0.69373,0.97299,0.65659,1.12229,0.00127904,0.00127904,0.00127904
55,451.967,1.00098,0.52425,1.09954,0.92963,0.9444,0.96803,0.70788,0.95802,0.55308,1.10866,0.00127621,0.00127621,0.00127621
56,460.505,0.98924,0.50642,1.07992,0.94354,0.94277,0.98265,0.72097,0.97519,0.59764,1.12512,0.00127338,0.00127338,0.00127338
57,469.028,1.0095,0.53777,1.09875,0.90624,0.89928,0.94618,0.6979,0.9618,0.79698,1.13593,0.00127055,0.00127055,0.00127055
58,477.668,0.97323,0.52658,1.09431,0.93567,0.94705,0.97962,0.7285,0.9379,0.6045,1.12055,0.00126772,0.00126772,0.00126772
59,486.229,0.9523,0.50582,1.08593,0.93021,0.93703,0.96006,0.72351,0.9287,0.68696,1.10243,0.00126489,0.00126489,0.00126489
60,495.679,0.97197,0.50419,1.09747,0.92678,0.9056,0.97183,0.71324,0.94678,0.7269,1.10594,0.00126206,0.00126206,0.00126206
61,504.412,1.01677,0.52941,1.11444,0.95974,0.95512,0.98393,0.73383,0.9411,0.56713,1.10154,0.00125923,0.00125923,0.00125923
62,513.088,1.02689,0.54878,1.11179,0.96121,0.94781,0.98247,0.72979,0.95149,0.57901,1.10788,0.00125641,0.00125641,0.00125641
63,521.778,0.98899,0.51754,1.09843,0.93232,0.88585,0.96698,0.72518,0.90164,0.72165,1.07582,0.00125358,0.00125358,0.00125358
64,530.414,0.96342,0.52256,1.08611,0.90829,0.88443,0.9438,0.71054,0.8971,0.64862,1.07952,0.00125075,0.00125075,0.00125075
65,538.991,0.98019,0.52954,1.09115,0.96109,0.95624,0.98635,0.74299,0.92566,0.47773,1.09767,0.00124792,0.00124792,0.00124792
66,548.021,1.00469,0.53155,1.10354,0.96406,0.98503,0.98877,0.75498,0.89084,0.47024,1.07245,0.00124509,0.00124509,0.00124509
67,556.801,0.98566,0.49501,1.1086,0.96211,0.97234,0.98928,0.74358,0.91725,0.47158,1.08935,0.00124226,0.00124226,0.00124226
68,565.34,0.96592,0.48709,1.09971,0.95526,0.98692,0.98378,0.73194,0.93066,0.48673,1.10859,0.00123943,0.00123943,0.00123943
69,573.917,0.97588,0.49712,1.104,0.92758,0.94612,0.97825,0.73253,0.94065,0.53336,1.11997,0.0012366,0.0012366,0.0012366
70,582.436,0.96263,0.49638,1.09238,0.9379,0.94639,0.98316,0.70777,0.9996,0.584,1.13119,0.00123377,0.00123377,0.00123377
71,591.196,0.96947,0.50788,1.10242,0.9736,0.9754,0.98921,0.74756,0.92993,0.4652,1.08917,0.00123094,0.00123094,0.00123094
72,599.848,0.99639,0.50246,1.10773,0.98439,0.98214,0.99333,0.77093,0.86197,0.41117,1.04613,0.00122811,0.00122811,0.00122811
73,608.861,0.97019,0.50738,1.0936,0.96897,0.95323,0.98658,0.75108,0.91618,0.56465,1.09772,0.00122528,0.00122528,0.00122528
74,617.504,0.9788,0.50449,1.09912,0.949,0.91628,0.9628,0.74495,0.86156,0.57788,1.05992,0.00122245,0.00122245,0.00122245
75,626.299,0.94826,0.48834,1.07335,0.98107,0.98399,0.99284,0.76353,0.84845,0.42528,1.04292,0.00121962,0.00121962,0.00121962
76,635.041,0.9295,0.48058,1.06359,0.97131,0.97682,0.98957,0.76864,0.84643,0.41804,1.05347,0.00121679,0.00121679,0.00121679
77,643.763,0.93353,0.48103,1.0656,0.96632,0.9695,0.98917,0.74792,0.88625,0.46369,1.07308,0.00121396,0.00121396,0.00121396
78,652.554,0.92688,0.48146,1.0572,0.97882,0.99243,0.99076,0.76836,0.86842,0.42837,1.06556,0.00121113,0.00121113,0.00121113
79,661.258,0.94568,0.49363,1.08401,0.98499,0.98466,0.99424,0.7768,0.85169,0.40946,1.05269,0.00120831,0.00120831,0.00120831
80,670.25,0.92703,0.48029,1.06932,0.96879,0.98769,0.98861,0.76213,0.87097,0.45452,1.05893,0.00120548,0.00120548,0.00120548
81,678.99,0.91649,0.46683,1.06663,0.97149,0.98853,0.99132,0.76923,0.84705,0.44784,1.05568,0.00120265,0.00120265,0.00120265
82,687.902,0.89672,0.47156,1.04751,0.98434,0.98914,0.99302,0.76227,0.85128,0.5201,1.05423,0.00119982,0.00119982,0.00119982
83,696.747,0.91382,0.46024,1.04893,0.98525,0.99323,0.99391,0.78057,0.81296,0.43386,1.02846,0.00119699,0.00119699,0.00119699
84,705.652,0.90233,0.46662,1.0665,0.98546,0.99072,0.99456,0.78636,0.83408,0.3945,1.03751,0.00119416,0.00119416,0.00119416
85,714.474,0.89463,0.46464,1.04565,0.98089,0.98127,0.99115,0.77809,0.8415,0.40063,1.03825,0.00119133,0.00119133,0.00119133
86,723.315,0.91504,0.4673,1.06352,0.94313,0.95444,0.98469,0.76411,0.85285,0.53265,1.04672,0.0011885,0.0011885,0.0011885
87,732.069,0.90839,0.46762,1.05136,0.97634,0.9861,0.9934,0.78473,0.81153,0.44883,1.01852,0.00118567,0.00118567,0.00118567
88,741.023,0.91319,0.46549,1.05268,0.98663,0.99238,0.9928,0.79457,0.79496,0.39355,1.00967,0.00118284,0.00118284,0.00118284
89,750.474,0.91857,0.46321,1.08014,0.94435,0.97122,0.95996,0.7502,0.82189,0.53232,1.03034,0.00118001,0.00118001,0.00118001
90,759.246,0.89023,0.44442,1.04792,0.97983,0.97959,0.99012,0.78523,0.7906,0.44836,1.00707,0.00117718,0.00117718,0.00117718
91,768.089,0.87814,0.43995,1.03059,0.99151,0.99094,0.99431,0.80378,0.79254,0.39867,1.01127,0.00117435,0.00117435,0.00117435
92,777.237,0.86918,0.44313,1.03569,0.97355,0.98954,0.99042,0.79088,0.8137,0.44113,1.03366,0.00117152,0.00117152,0.00117152
93,786.13,0.88279,0.45496,1.05068,0.98853,0.98524,0.99464,0.79613,0.83898,0.42197,1.03885,0.00116869,0.00116869,0.00116869
94,795.536,0.90595,0.4627,1.0542,0.97101,0.98428,0.99176,0.78081,0.81416,0.42917,1.02294,0.00116586,0.00116586,0.00116586
95,804.319,0.87309,0.46157,1.06154,0.96562,0.97372,0.99022,0.78298,0.8105,0.44099,1.02357,0.00116303,0.00116303,0.00116303
96,813.218,0.9056,0.44839,1.05342,0.98627,0.98863,0.99453,0.79414,0.78649,0.39554,1.00982,0.00116021,0.00116021,0.00116021
97,822.059,0.87062,0.43809,1.03401,0.9672,0.97854,0.98516,0.77496,0.81053,0.5161,1.02286,0.00115738,0.00115738,0.00115738
98,830.911,0.87887,0.45434,1.03548,0.97646,0.98634,0.99188,0.78905,0.80308,0.39839,1.0136,0.00115455,0.00115455,0.00115455
99,839.913,0.8807,0.43727,1.04229,0.98508,0.9704,0.98822,0.7897,0.79999,0.38498,1.00949,0.00115172,0.00115172,0.00115172
100,848.853,0.89161,0.44373,1.05103,0.95214,0.97451,0.97076,0.76163,0.82669,0.45372,1.02836,0.00114889,0.00114889,0.00114889
101,857.706,0.86619,0.44505,1.02949,0.97918,0.98927,0.99163,0.79494,0.77113,0.39656,0.99606,0.00114606,0.00114606,0.00114606
102,866.443,0.89133,0.44219,1.04686,0.98661,0.98376,0.99092,0.79732,0.76531,0.4132,0.99423,0.00114323,0.00114323,0.00114323
103,875.387,0.83606,0.43538,1.03199,0.98496,0.98154,0.9917,0.79497,0.7706,0.38487,0.99367,0.0011404,0.0011404,0.0011404
104,884.248,0.84257,0.43086,1.03654,0.98515,0.99394,0.99371,0.80535,0.77228,0.36306,0.99733,0.00113757,0.00113757,0.00113757
105,893.563,0.85268,0.43242,1.01926,0.96444,0.92831,0.9861,0.78501,0.82332,0.48648,1.02359,0.00113474,0.00113474,0.00113474
106,902.717,0.86576,0.4267,1.03056,0.98921,0.99668,0.99425,0.81006,0.76954,0.37221,0.99342,0.00113191,0.00113191,0.00113191
107,911.861,0.88356,0.44518,1.03175,0.98432,0.99359,0.99407,0.81879,0.76347,0.35676,0.99206,0.00112908,0.00112908,0.00112908
108,920.869,0.91411,0.43911,1.05864,0.92993,0.95913,0.97441,0.78651,0.79719,0.47722,1.00949,0.00112625,0.00112625,0.00112625
109,929.7,0.85385,0.43363,1.02581,0.97672,0.98279,0.99035,0.81914,0.74865,0.37889,0.97914,0.00112342,0.00112342,0.00112342
110,938.647,0.87579,0.44003,1.04612,0.97385,0.97238,0.98659,0.80541,0.75661,0.40952,0.98865,0.00112059,0.00112059,0.00112059
111,947.408,0.85479,0.42373,1.02474,0.97033,0.94871,0.99063,0.7978,0.77772,0.49711,0.99654,0.00111776,0.00111776,0.00111776
112,956.325,0.86105,0.42425,1.02148,0.94377,0.9581,0.98135,0.80078,0.76547,0.45064,0.99089,0.00111493,0.00111493,0.00111493
113,965.137,0.83876,0.4241,1.00896,0.98514,0.99564,0.99438,0.8207,0.73536,0.34559,0.97461,0.0011121,0.0011121,0.0011121
114,974.292,0.85953,0.42298,1.02973,0.95585,0.98499,0.98983,0.79702,0.78122,0.39144,1.00421,0.00110928,0.00110928,0.00110928
115,983.452,0.84659,0.43063,1.03141,0.99333,0.99407,0.99464,0.81044,0.74618,0.35198,0.97682,0.00110645,0.00110645,0.00110645
116,992.237,0.8466,0.43188,1.02393,0.96526,0.97595,0.98765,0.80365,0.78153,0.43278,0.9982,0.00110362,0.00110362,0.00110362
117,1001.33,0.84834,0.42713,1.02609,0.9915,0.99409,0.99221,0.82252,0.74525,0.35025,0.97815,0.00110079,0.00110079,0.00110079
118,1010.4,0.84541,0.42388,1.0215,0.98481,0.98661,0.99132,0.81411,0.75025,0.37638,0.98055,0.00109796,0.00109796,0.00109796
119,1019.23,0.83565,0.42837,1.02199,0.95787,0.94403,0.96908,0.78204,0.77858,0.49229,0.99483,0.00109513,0.00109513,0.00109513
120,1028.27,0.8437,0.42279,1.02725,0.98496,0.99121,0.99312,0.81882,0.74034,0.35106,0.97953,0.0010923,0.0010923,0.0010923
121,1037.21,0.84844,0.41036,1.02631,0.97353,0.98231,0.98941,0.80844,0.73978,0.3835,0.98097,0.00108947,0.00108947,0.00108947
122,1046.12,0.83725,0.42026,1.02854,0.98009,0.98718,0.99207,0.83126,0.69373,0.35346,0.95723,0.00108664,0.00108664,0.00108664
123,1055.27,0.83054,0.42136,1.01976,0.95999,0.95831,0.98314,0.80217,0.74201,0.44467,0.97471,0.00108381,0.00108381,0.00108381
124,1064.21,0.80343,0.41254,1.00927,0.99463,0.9955,0.99395,0.81968,0.71724,0.34753,0.96672,0.00108098,0.00108098,0.00108098
125,1072.99,0.80252,0.40017,1.00347,0.99186,0.99525,0.9944,0.82576,0.72144,0.34611,0.96859,0.00107815,0.00107815,0.00107815
126,1081.83,0.84385,0.41632,1.01733,0.94951,0.98682,0.98024,0.80604,0.75397,0.38703,0.98621,0.00107532,0.00107532,0.00107532
127,1091.35,0.84057,0.42947,1.0381,0.97408,0.98615,0.99072,0.81242,0.73486,0.38379,0.97744,0.00107249,0.00107249,0.00107249
128,1100.13,0.80351,0.40303,1.00172,0.98884,0.98671,0.9927,0.82322,0.70998,0.34909,0.96782,0.00106966,0.00106966,0.00106966
129,1108.92,0.79794,0.40037,1.00184,0.99346,0.99586,0.99495,0.82783,0.72165,0.34423,0.96923,0.00106683,0.00106683,0.00106683
130,1117.8,0.82974,0.41905,1.00807,0.98947,0.99578,0.99415,0.83143,0.72267,0.32561,0.96967,0.001064,0.001064,0.001064
131,1127.04,0.81227,0.40748,1.02686,0.96907,0.97764,0.99115,0.81464,0.74156,0.37814,0.98095,0.00106118,0.00106118,0.00106118
132,1136.06,0.78848,0.40595,0.99352,0.99194,0.99784,0.99491,0.83196,0.71941,0.3267,0.96687,0.00105835,0.00105835,0.00105835
133,1145.13,0.78639,0.39261,0.99567,0.98555,0.99268,0.99081,0.82032,0.72332,0.34414,0.97,0.00105552,0.00105552,0.00105552
134,1154.19,0.82681,0.40549,1.01443,0.99756,0.99685,0.99499,0.84152,0.69095,0.31815,0.955,0.00105269,0.00105269,0.00105269
135,1163.24,0.80606,0.40524,1.00552,0.98935,0.99905,0.99487,0.8393,0.70259,0.32681,0.96365,0.00104986,0.00104986,0.00104986
