epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1172.03,0.7955,0.4022,0.99916,0.99382,0.99854,0.99496,0.84067,0.69557,0.3221,0.96223,0.00104703,0.00104703,0.00104703
137,1180.9,0.81788,0.40757,1.00316,0.98477,0.98679,0.99141,0.82288,0.72272,0.3457,0.97378,0.0010442,0.0010442,0.0010442
138,1189.81,0.77957,0.3876,1.005,0.97439,0.97327,0.99109,0.82147,0.71267,0.38442,0.96608,0.00104137,0.00104137,0.00104137
139,1198.7,0.76741,0.37738,1.00848,0.99548,0.99578,0.99489,0.83498,0.67591,0.34295,0.9501,0.00103854,0.00103854,0.00103854
140,1207.59,0.80177,0.40192,1.00853,0.98825,0.98543,0.99403,0.83898,0.67383,0.34735,0.94763,0.00103571,0.00103571,0.00103571
141,1216.42,0.78195,0.3967,0.99301,0.99162,0.99625,0.99416,0.8358,0.68127,0.33988,0.95231,0.00103288,0.00103288,0.00103288
142,1225.52,0.78197,0.39691,1.00186,0.98992,0.99364,0.99425,0.84601,0.66324,0.31655,0.94381,0.00103005,0.00103005,0.00103005
143,1234.59,0.76518,0.37735,0.98506,0.97392,0.97889,0.99246,0.83343,0.7119,0.36666,0.96266,0.00102722,0.00102722,0.00102722
144,1243.3,0.78054,0.397,1.00488,0.99026,0.99658,0.99457,0.85052,0.66827,0.31209,0.94707,0.00102439,0.00102439,0.00102439
145,1252.42,0.77236,0.3848,1.00287,0.99153,0.99728,0.99439,0.84356,0.68974,0.32,0.94613,0.00102156,0.00102156,0.00102156
146,1261.32,0.78488,0.38987,0.99512,0.99459,0.99911,0.99497,0.84799,0.67789,0.3185,0.9485,0.00101873,0.00101873,0.00101873
147,1270.15,0.7885,0.39003,1.00658,0.99004,0.99238,0.99418,0.84508,0.67107,0.32733,0.9458,0.0010159,0.0010159,0.0010159
148,1279.06,0.78512,0.39046,1.01154,0.9923,0.99507,0.99429,0.84732,0.66288,0.31486,0.94041,0.00101308,0.00101308,0.00101308
149,1287.89,0.77775,0.38557,0.99165,0.99226,0.99915,0.99496,0.84731,0.65623,0.31317,0.93935,0.00101025,0.00101025,0.00101025
150,1296.72,0.7662,0.37553,0.9915,0.99259,0.99707,0.99491,0.83907,0.67975,0.31368,0.95066,0.00100742,0.00100742,0.00100742
151,1305.65,0.79079,0.39544,1.01023,0.99083,0.99487,0.99367,0.84333,0.68284,0.32138,0.94782,0.00100459,0.00100459,0.00100459
152,1314.51,0.77276,0.39036,0.98595,0.98475,0.99541,0.99457,0.82998,0.6854,0.32735,0.94997,0.00100176,0.00100176,0.00100176
153,1323.31,0.78267,0.37932,0.99357,0.98872,0.99385,0.99395,0.84512,0.68856,0.32095,0.9581,0.000998928,0.000998928,0.000998928
154,1332.09,0.74707,0.3693,0.98547,0.99392,0.99491,0.9948,0.84941,0.66482,0.31449,0.94075,0.000996099,0.000996099,0.000996099
155,1340.91,0.78568,0.3914,0.99609,0.97945,0.98898,0.99401,0.83387,0.67385,0.34243,0.94293,0.000993269,0.000993269,0.000993269
156,1349.99,0.7766,0.39672,1.00242,0.98428,0.97956,0.9915,0.81634,0.70938,0.35563,0.96373,0.00099044,0.00099044,0.00099044
157,1358.85,0.77495,0.37955,0.98876,0.99288,0.99705,0.99473,0.83755,0.67875,0.31044,0.95923,0.00098761,0.00098761,0.00098761
158,1367.91,0.73628,0.37208,0.9839,0.99289,0.98546,0.99498,0.8459,0.64098,0.33043,0.93138,0.000984781,0.000984781,0.000984781
159,1376.83,0.73441,0.37537,0.98349,0.99658,0.99829,0.99498,0.86003,0.64505,0.30338,0.93515,0.000981952,0.000981952,0.000981952
160,1386.57,0.75277,0.37828,0.98936,0.99158,0.98966,0.9929,0.8496,0.65549,0.36422,0.93789,0.000979122,0.000979122,0.000979122
161,1395.5,0.7614,0.38495,0.99083,0.93271,0.95758,0.98982,0.84603,0.64837,0.90314,0.93595,0.000976293,0.000976293,0.000976293
162,1404.25,0.75712,0.3873,0.9847,0.9685,0.96676,0.97929,0.83188,0.64885,0.39596,0.93269,0.000973463,0.000973463,0.000973463
163,1412.98,0.73855,0.36633,0.98595,0.99198,1,0.99492,0.85235,0.65929,0.2965,0.93556,0.000970634,0.000970634,0.000970634
164,1421.81,0.74842,0.35962,0.97108,0.99461,0.99829,0.99471,0.8544,0.65381,0.29975,0.93483,0.000967805,0.000967805,0.000967805
165,1430.52,0.75193,0.37389,0.99722,0.99429,0.99829,0.995,0.855,0.65283,0.29339,0.93807,0.000964975,0.000964975,0.000964975
166,1439.48,0.74733,0.37249,0.97942,0.99148,0.99714,0.99465,0.85397,0.65678,0.29592,0.93512,0.000962146,0.000962146,0.000962146
167,1448.35,0.74487,0.36978,0.9854,0.99648,0.99726,0.9947,0.86019,0.64156,0.30085,0.9271,0.000959316,0.000959316,0.000959316
168,1457.65,0.75962,0.37592,0.98257,0.99671,0.99674,0.99493,0.86163,0.63272,0.29498,0.92416,0.000956487,0.000956487,0.000956487
169,1466.78,0.72552,0.35796,0.96383,0.9914,0.99934,0.99494,0.85302,0.65275,0.29427,0.93699,0.000953657,0.000953657,0.000953657
170,1476.04,0.75027,0.36953,0.99589,0.99618,0.9977,0.99499,0.86363,0.63268,0.28888,0.92556,0.000950828,0.000950828,0.000950828
171,1485.18,0.72663,0.368,0.98115,0.99684,0.99829,0.99498,0.85648,0.64345,0.29625,0.93114,0.000947999,0.000947999,0.000947999
172,1493.94,0.76298,0.38479,0.98794,0.99506,0.99487,0.9943,0.85738,0.63943,0.33673,0.93094,0.000945169,0.000945169,0.000945169
173,1502.93,0.71937,0.37082,0.9743,0.99454,0.99971,0.99499,0.85595,0.61384,0.28725,0.92062,0.00094234,0.00094234,0.00094234
174,1511.89,0.72549,0.35474,0.96254,0.99338,0.99781,0.99411,0.85632,0.61572,0.29479,0.91889,0.00093951,0.00093951,0.00093951
175,1520.81,0.75702,0.37881,0.98143,0.9945,0.99821,0.99476,0.86115,0.61331,0.29355,0.91585,0.000936681,0.000936681,0.000936681
176,1529.62,0.7326,0.36196,0.95986,0.9982,0.9985,0.995,0.86214,0.62376,0.28614,0.92108,0.000933851,0.000933851,0.000933851
177,1539.39,0.71767,0.3636,0.9811,0.99181,0.99453,0.99416,0.85167,0.65084,0.31759,0.93795,0.000931022,0.000931022,0.000931022
178,1549.37,0.73925,0.35985,0.972,0.99867,1,0.995,0.86444,0.63498,0.29259,0.92353,0.000928193,0.000928193,0.000928193
179,1559.97,0.71164,0.35883,0.95364,0.99816,0.99764,0.99499,0.87241,0.61116,0.28431,0.91578,0.000925363,0.000925363,0.000925363
180,1570.79,0.72897,0.36149,0.96505,0.99421,0.99792,0.99497,0.87458,0.60109,0.2775,0.91238,0.000922534,0.000922534,0.000922534
181,1580.97,0.7138,0.3575,0.97043,0.99448,0.99789,0.99469,0.86974,0.60215,0.27758,0.91301,0.000919704,0.000919704,0.000919704
182,1590.92,0.72445,0.36114,0.96518,0.99767,0.99692,0.99494,0.87427,0.60322,0.27753,0.91246,0.000916875,0.000916875,0.000916875
183,1600.96,0.77108,0.38117,0.99147,0.99641,0.99531,0.99428,0.87379,0.604,0.28768,0.91179,0.000914046,0.000914046,0.000914046
184,1610.84,0.73308,0.36249,0.98582,0.99692,0.99862,0.99486,0.87367,0.60659,0.27898,0.91097,0.000911216,0.000911216,0.000911216
185,1620.63,0.74127,0.36301,0.97933,0.9913,0.99761,0.99436,0.86779,0.6229,0.29346,0.91946,0.000908387,0.000908387,0.000908387
186,1630.3,0.72597,0.36246,0.97226,0.9902,0.99829,0.99417,0.85656,0.63555,0.29643,0.9283,0.000905557,0.000905557,0.000905557
