epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,588.239,0.07869,0.97778,1,1.08789,0.00045953,0.00045953,0.00045953
74,601.757,0.07857,0.98333,1,1.07568,0.000455996,0.000455996,0.000455996
75,615.057,0.06597,0.98333,0.99444,1.06494,0.000452462,0.000452462,0.000452462
76,628.747,0.0838,0.98333,0.99444,1.07422,0.000448928,0.000448928,0.000448928
77,643.204,0.09778,0.96111,1,1.10791,0.000445393,0.000445393,0.000445393
78,658.618,0.10822,0.97222,0.99444,1.08984,0.000441859,0.000441859,0.000441859
79,674.936,0.06392,0.96111,0.99444,1.08984,0.000438325,0.000438325,0.000438325
80,689.949,0.03481,0.98333,0.99444,1.05664,0.00043479,0.00043479,0.00043479
81,706.049,0.05187,0.98889,1,1.0542,0.000431256,0.000431256,0.000431256
82,722.905,0.04939,0.98333,0.99444,1.06494,0.000427722,0.000427722,0.000427722
83,739.363,0.04564,0.93889,0.99444,1.1167,0.000424187,0.000424187,0.000424187
84,755.32,0.05454,0.98333,0.99444,1.06689,0.000420653,0.000420653,0.000420653
85,771.445,0.09008,0.94444,0.99444,1.10059,0.000417119,0.000417119,0.000417119
86,787.047,0.08138,0.94444,0.99444,1.08301,0.000413584,0.000413584,0.000413584
87,802.344,0.07498,0.93889,0.99444,1.08838,0.00041005,0.00041005,0.00041005
88,819.375,0.06976,0.97222,0.99444,1.08252,0.000406516,0.000406516,0.000406516
89,837.102,0.04396,0.97222,0.99444,1.06592,0.000402982,0.000402982,0.000402982
90,855.41,0.04245,0.97778,0.99444,1.0752,0.000399447,0.000399447,0.000399447
91,873.394,0.04077,0.97778,0.99444,1.07959,0.000395913,0.000395913,0.000395913
92,891.762,0.03706,0.98889,0.99444,1.06543,0.000392379,0.000392379,0.000392379
93,910.91,0.03485,0.98889,0.99444,1.05762,0.000388844,0.000388844,0.000388844
94,930.581,0.04699,0.96111,0.99444,1.07959,0.00038531,0.00038531,0.00038531
95,951.899,0.07031,0.96111,0.99444,1.09375,0.000381776,0.000381776,0.000381776
96,968.584,0.05631,0.96667,0.99444,1.08252,0.000378242,0.000378242,0.000378242
97,985.993,0.05452,0.99444,0.99444,1.05615,0.000374707,0.000374707,0.000374707
98,1006.17,0.04009,0.98889,0.99444,1.05371,0.000371173,0.000371173,0.000371173
99,1026.44,0.05049,0.99444,0.99444,1.05322,0.000367639,0.000367639,0.000367639
100,1046.73,0.0813,0.96111,1,1.08203,0.000364104,0.000364104,0.000364104
101,1063.88,0.05892,0.98333,1,1.06055,0.00036057,0.00036057,0.00036057
102,1083.88,0.06006,0.98889,1,1.05664,0.000357036,0.000357036,0.000357036
103,1101.35,0.03796,0.98889,1,1.06006,0.000353501,0.000353501,0.000353501
104,1119.46,0.04627,0.97222,1,1.08105,0.000349967,0.000349967,0.000349967
105,1139.15,0.03797,0.97778,1,1.07568,0.000346433,0.000346433,0.000346433
106,1159.57,0.03202,0.96667,0.99444,1.07812,0.000342899,0.000342899,0.000342899
107,1179.46,0.06518,0.97222,1,1.07471,0.000339364,0.000339364,0.000339364
108,1199.74,0.07705,0.98333,1,1.0708,0.00033583,0.00033583,0.00033583
109,1221.18,0.06387,0.98333,1,1.06299,0.000332296,0.000332296,0.000332296
110,1244.28,0.05733,0.96111,0.99444,1.08789,0.000328761,0.000328761,0.000328761
111,1264.61,0.05888,0.96111,0.99444,1.08691,0.000325227,0.000325227,0.000325227
112,1286.27,0.03581,0.96111,1,1.08984,0.000321693,0.000321693,0.000321693
113,1310.84,0.03079,0.97222,1,1.07275,0.000318158,0.000318158,0.000318158
114,1331.9,0.04441,0.97778,1,1.05859,0.000314624,0.000314624,0.000314624
115,1355.88,0.03919,0.98889,1,1.05762,0.00031109,0.00031109,0.00031109
116,1380.26,0.04231,0.98333,1,1.07617,0.000307555,0.000307555,0.000307555
117,1405.02,0.03834,0.98333,1,1.06543,0.000304021,0.000304021,0.000304021
118,1429.6,0.03538,0.97778,1,1.06592,0.000300487,0.000300487,0.000300487
119,1454.41,0.0278,0.98889,1,1.06152,0.000296953,0.000296953,0.000296953
120,1477.16,0.02826,0.98889,1,1.0542,0.000293418,0.000293418,0.000293418
121,1501.55,0.04134,0.98333,1,1.05664,0.000289884,0.000289884,0.000289884
122,1526.36,0.04875,0.96667,1,1.08447,0.00028635,0.00028635,0.00028635
123,1551.06,0.0322,0.98333,0.99444,1.06104,0.000282815,0.000282815,0.000282815
124,1575.25,0.02773,0.97778,1,1.06934,0.000279281,0.000279281,0.000279281
125,1599.78,0.04088,0.97778,1,1.06445,0.000275747,0.000275747,0.000275747
126,1624.11,0.02754,0.99444,1,1.05811,0.000272212,0.000272212,0.000272212
127,1648.27,0.0198,0.97778,1,1.06494,0.000268678,0.000268678,0.000268678
128,1673.22,0.01812,0.98889,1,1.05371,0.000265144,0.000265144,0.000265144
129,1698.44,0.01054,0.99444,1,1.0498,0.00026161,0.00026161,0.00026161
130,1723.72,0.01138,0.99444,1,1.0498,0.000258075,0.000258075,0.000258075
131,1748.5,0.01233,0.99444,1,1.05664,0.000254541,0.000254541,0.000254541
132,1772.88,0.01197,0.99444,0.99444,1.05713,0.000251007,0.000251007,0.000251007
133,1798.12,0.02576,0.98333,1,1.06396,0.000247472,0.000247472,0.000247472
134,1823.66,0.01996,0.98889,0.99444,1.05469,0.000243938,0.000243938,0.000243938
135,1849.22,0.01563,0.99444,1,1.05371,0.000240404,0.000240404,0.000240404
136,1874.06,0.01258,0.99444,1,1.05078,0.000236869,0.000236869,0.000236869
137,1898.92,0.01533,0.99444,1,1.05176,0.000233335,0.000233335,0.000233335
138,1923.84,0.02185,0.98889,1,1.05176,0.000229801,0.000229801,0.000229801
139,1948.41,0.02356,0.98889,1,1.05615,0.000226267,0.000226267,0.000226267
140,1971.77,0.00923,0.98333,1,1.06592,0.000222732,0.000222732,0.000222732
141,1991.72,0.01194,0.97778,1,1.05859,0.000219198,0.000219198,0.000219198
142,2008.93,0.00952,0.97778,1,1.06055,0.000215664,0.000215664,0.000215664
143,2024.77,0.0131,0.98889,1,1.06055,0.000212129,0.000212129,0.000212129
144,2040.17,0.0158,0.98889,1,1.05273,0.000208595,0.000208595,0.000208595
145,2054.74,0.02546,0.98889,1,1.05908,0.000205061,0.000205061,0.000205061
146,2070.92,0.02118,0.98333,1,1.06592,0.000201527,0.000201527,0.000201527
147,2086.14,0.02413,0.98889,1,1.05322,0.000197992,0.000197992,0.000197992
148,2104.7,0.02219,0.98889,1,1.05908,0.000194458,0.000194458,0.000194458
149,2122.55,0.02277,0.98333,1,1.05762,0.000190924,0.000190924,0.000190924
150,2140.73,0.01739,0.98333,1,1.05615,0.000187389,0.000187389,0.000187389
151,2160.21,0.01767,0.98333,1,1.06152,0.000183855,0.000183855,0.000183855
152,2179.82,0.01829,0.98889,1,1.06543,0.000180321,0.000180321,0.000180321
153,2198.96,0.0175,0.98333,1,1.06006,0.000176786,0.000176786,0.000176786
154,2221.12,0.01336,0.98889,1,1.05908,0.000173252,0.000173252,0.000173252
155,2240.31,0.01947,0.99444,1,1.05029,0.000169718,0.000169718,0.000169718
156,2259.6,0.01835,0.98889,1,1.05713,0.000166183,0.000166183,0.000166183
157,2280.43,0.01574,0.99444,1,1.05811,0.000162649,0.000162649,0.000162649
158,2298.94,0.00897,0.99444,1,1.04883,0.000159115,0.000159115,0.000159115
159,2319.37,0.01106,0.99444,1,1.04883,0.000155581,0.000155581,0.000155581
160,2337.02,0.01555,0.99444,1,1.04932,0.000152046,0.000152046,0.000152046
161,2356.92,0.0081,0.99444,1,1.0498,0.000148512,0.000148512,0.000148512
162,2378.7,0.02173,0.99444,1,1.05078,0.000144978,0.000144978,0.000144978
163,2402.78,0.00911,0.99444,1,1.05518,0.000141443,0.000141443,0.000141443
164,2425.88,0.00895,0.99444,1,1.0498,0.000137909,0.000137909,0.000137909
165,2449.53,0.0065,0.98889,1,1.05273,0.000134375,0.000134375,0.000134375
166,2472.63,0.01751,0.99444,1,1.04883,0.000130841,0.000130841,0.000130841
167,2496.48,0.01532,0.98889,1,1.05859,0.000127306,0.000127306,0.000127306
168,2520.54,0.01364,0.99444,1,1.05518,0.000123772,0.000123772,0.000123772
169,2542.94,0.0166,0.99444,1,1.04883,0.000120238,0.000120238,0.000120238
170,2566.96,0.02126,0.99444,1,1.05127,0.000116703,0.000116703,0.000116703
171,2589.94,0.01487,0.99444,1,1.05029,0.000113169,0.000113169,0.000113169
172,2613.34,0.01519,0.99444,1,1.05127,0.000109635,0.000109635,0.000109635
173,2637.15,0.00935,0.99444,1,1.05176,0.0001061,0.0001061,0.0001061
174,2660.75,0.00483,0.99444,1,1.05225,0.000102566,0.000102566,0.000102566
175,2684.87,0.00854,0.99444,1,1.05078,9.90318e-05,9.90318e-05,9.90318e-05
176,2708.45,0.00408,0.99444,1,1.05566,9.54975e-05,9.54975e-05,9.54975e-05
177,2732.7,0.00476,0.99444,1,1.05273,9.19632e-05,9.19632e-05,9.19632e-05
178,2757.18,0.00233,0.99444,1,1.05078,8.84289e-05,8.84289e-05,8.84289e-05
179,2780.74,0.01172,0.99444,1,1.05371,8.48946e-05,8.48946e-05,8.48946e-05
180,2804.86,0.0061,0.99444,1,1.05273,8.13603e-05,8.13603e-05,8.13603e-05
181,2829.13,0.00418,0.99444,1,1.05273,7.7826e-05,7.7826e-05,7.7826e-05
182,2853.17,0.00706,0.98889,1,1.0542,7.42917e-05,7.42917e-05,7.42917e-05
183,2877.63,0.00548,0.98889,1,1.06494,7.07574e-05,7.07574e-05,7.07574e-05
184,2902,0.00588,0.98889,1,1.05176,6.72231e-05,6.72231e-05,6.72231e-05
185,2926.36,0.00284,0.98889,1,1.05518,6.36888e-05,6.36888e-05,6.36888e-05
186,2950.73,0.00797,0.99444,1,1.05078,6.01545e-05,6.01545e-05,6.01545e-05
187,2975.23,0.01452,0.99444,1,1.05225,5.66202e-05,5.66202e-05,5.66202e-05
188,2999.72,0.00762,0.99444,1,1.05078,5.30859e-05,5.30859e-05,5.30859e-05
189,3024.2,0.00367,0.99444,1,1.05762,4.95516e-05,4.95516e-05,4.95516e-05
190,3048.7,0.00823,0.99444,1,1.05566,4.60173e-05,4.60173e-05,4.60173e-05
191,3102.5,0.00558,0.99444,1,1.05225,4.2483e-05,4.2483e-05,4.2483e-05
192,3109.15,0.00531,0.99444,1,1.05225,3.89487e-05,3.89487e-05,3.89487e-05
193,3115.87,0.00608,0.99444,1,1.05078,3.54144e-05,3.54144e-05,3.54144e-05
194,3123.88,0.00736,0.99444,1,1.05127,3.18801e-05,3.18801e-05,3.18801e-05
195,3133.1,0.00713,0.99444,1,1.05322,2.83458e-05,2.83458e-05,2.83458e-05
196,3146.06,0.00455,0.99444,1,1.05322,2.48115e-05,2.48115e-05,2.48115e-05
197,3167.38,0.00324,0.99444,1,1.05811,2.12772e-05,2.12772e-05,2.12772e-05
198,3191.31,0.00742,0.99444,1,1.05859,1.77429e-05,1.77429e-05,1.77429e-05
199,3215.49,0.01406,0.99444,1,1.05615,1.42086e-05,1.42086e-05,1.42086e-05
200,3239.59,0.00475,0.99444,1,1.05273,1.06743e-05,1.06743e-05,1.06743e-05
