epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3553,1.6513,3.99295,1.42322,0.00662,0.68253,0.01881,0.00898,1.43785,3.63928,1.34464,7.145e-05,7.145e-05,7.145e-05
2,15.4812,1.4765,2.5085,1.24988,0.37784,0.59647,0.47379,0.26539,1.34462,4.13577,1.1706,0.000156879,0.000156879,0.000156879
3,21.5254,1.28997,1.22031,1.13341,0.63052,0.8245,0.75491,0.42655,1.30241,3.39755,1.24374,0.000241968,0.000241968,0.000241968
4,27.3179,1.29481,1.00889,1.14007,0.75311,0.64713,0.75089,0.41778,1.49429,1.64748,1.35086,0.000326718,0.000326718,0.000326718
5,32.8695,1.19158,0.87257,1.09246,0.71716,0.66464,0.75479,0.42019,1.5549,1.84146,1.41846,0.000411128,0.000411128,0.000411128
6,38.5996,1.25612,0.81995,1.13922,0.65936,0.57036,0.61879,0.33462,1.65086,1.6108,1.41622,0.000495199,0.000495199,0.000495199
7,44.2154,1.25547,0.81831,1.13424,0.65306,0.46575,0.45391,0.25974,1.71296,1.96692,1.5768,0.00057893,0.00057893,0.00057893
8,49.8361,1.16914,0.78197,1.09384,0.28493,0.26565,0.1929,0.09982,2.09068,2.93312,2.01987,0.000662321,0.000662321,0.000662321
9,55.4888,1.21918,0.79204,1.12626,0.17165,0.46711,0.13106,0.07755,1.62627,7.97051,3.49299,0.000745373,0.000745373,0.000745373
10,61.1865,1.17429,0.7677,1.09037,0.67451,0.61627,0.58088,0.34127,1.61514,2.56031,1.69626,0.000828086,0.000828086,0.000828086
11,66.9771,1.17517,0.7656,1.09866,0.46423,0.28938,0.2726,0.13096,2.34714,2.76843,2.49598,0.000910459,0.000910459,0.000910459
12,72.7463,1.22957,0.75971,1.12203,0.37551,0.40732,0.30043,0.14955,2.00552,2.40748,2.17685,0.000992492,0.000992492,0.000992492
13,78.6318,1.22453,0.77072,1.10836,0.25357,0.18612,0.16163,0.08383,nan,nan,nan,0.00107419,0.00107419,0.00107419
14,84.5431,1.23619,0.75787,1.12137,0.4532,0.48533,0.44137,0.21057,1.92695,2.75478,1.95566,0.00115554,0.00115554,0.00115554
15,90.4572,1.21414,0.78899,1.1313,0.12761,0.28294,0.05543,0.02606,2.44756,14.7009,2.81045,0.00123656,0.00123656,0.00123656
16,96.4522,1.25245,0.79581,1.15929,0.38503,0.28221,0.24008,0.09772,nan,nan,nan,0.00131723,0.00131723,0.00131723
17,102.448,1.22988,0.79175,1.12399,0.19952,0.11364,0.07936,0.02776,nan,nan,nan,0.00138373,0.00138373,0.00138373
18,108.603,1.21735,0.74967,1.11426,0.10117,0.17981,0.03024,0.01213,3.18701,14.1961,3.22851,0.0013809,0.0013809,0.0013809
19,114.838,1.21139,0.72323,1.13829,0.29231,0.40863,0.1479,0.07961,nan,nan,nan,0.00137807,0.00137807,0.00137807
20,121.015,1.20044,0.73665,1.10671,0.28461,0.28546,0.16292,0.08366,nan,nan,nan,0.00137524,0.00137524,0.00137524
21,127.319,1.21209,0.72615,1.12485,0.23203,0.10869,0.06185,0.02885,nan,nan,nan,0.00137241,0.00137241,0.00137241
22,133.664,1.24729,0.76422,1.15609,0.59011,0.33724,0.33634,0.19146,2.2771,3.09202,2.50272,0.00136958,0.00136958,0.00136958
23,139.8,1.17936,0.72984,1.10381,0.05991,0.04605,0.0231,0.0095,nan,nan,nan,0.00136675,0.00136675,0.00136675
